Kodea,Izena,Kokalekua,Helbidea,PostaKodea,Herria,Probintzia,Kategoria,Edukiera
PSS00023,"JAIZKIBEL","Akartegi | Diseminado","Akartegi 26",20280,"Hondarribia","Gipuzkoa",T,324
PSS00006,"CAMPING BUNGALOWS IGUELDO SAN SEBASTIAN","Igeldo | Diseminado","Padre Orkolaga Ibibidea 69",20008,"Donostia / San Sebastián","Gipuzkoa",P,901
PSS00020,"IGARA DE SAN SEBASTIAN","Donostia / San Sebastián","Igara Bidea 195",20018,"Donostia / San Sebastián","Gipuzkoa",P,460
PSS00022,"Area Autocaravanas Igueldo San Sebastian","Igeldo | Diseminado","Paseo Padre Orkolaga 69",20008,"Donostia / San Sebastián","Gipuzkoa",S,0
PBI00004,"LEAGI","Leagi | Diseminado","Leagi 4",48289,"Mendexa","Bizkaia",S,673
PSS00001,"OLIDEN","Arragua | Diseminado","N-1 Errepidea 2",20180,"Mendexa","Gipuzkoa",S,235
PBI00003,"ENDAI","Likoa | Diseminado","Likoa 52",48289,"Mendexa","Bizkaia",T,238
PSS00005,"PLAYA DE ORIO","null","Hondartza Bidea z.g.",20810,"Orio","Gipuzkoa",P,764
PBI00001,"PORTUONDO","Portuondo-Basaran | Diseminado","Portuondo Auzoa",48360,"Mundaka","Bizkaia",P,344
PSS00013,"SANTA ELENA","Galdona | Diseminado","Galdona 4",20830,"Mutriku","Gipuzkoa",T,120
PSS00009,"AITZETA","null","Laranga Auzoa 35",20830,"Mutriku","Gipuzkoa",T,271
PSS00010,"SATURRARAN","Mijoa | Diseminado","Mijoa 27",20830,"Mutriku","Gipuzkoa",T,100
PSS00002,"GRAN CAMPING ZARAUZ","Zarautz | Diseminado","Talaimendi Auzoa 725",20800,"Zarautz","Gipuzkoa",S,1400
PVI00001,"IBAYA","Zuazo de Vitoria/Zuhatzu","Zuazo de Vitoria 21",01195,"Vitoria-Gasteiz","Araba/Álava",T,250
PBI00005,"SOPELANA","Moreaga","Atxabiribil 30",48600,"Sopela","Bizkaia",T,600
PVI00002,"ANGOSTO","Villanañe","Carretera Angosto 2-BIS",01426,"Valdegovía/Gaubea","Araba/Álava",P,244
PBI00009,"ÁREA AUTOCARAVANAS Y CARAVANAS LANESTOSA","Lanestosa","Mirabueno 6",48895,"Legazpi","Bizkaia",S,0
PVI00003,"EL ROBLE VERDE","Lasierra","Lasierra 0",01428,"Erriberagoitia/Ribera Alta","Araba/Álava",P,520
PSS00021,"ZUMAIA","Zumaia","Basusta Bidea 16",20750,"Zumaia","Gipuzkoa",P,497
